"Rank","Title","Year","Country","Genre","Rating"
164,"射雕英雄传之东成西就",1993,"CHNH","Comedy",8.7
165,"高山下的花环",1984,"CHNC","Drama",9.5
166,"末路狂花",1991,"USA","Drama",0.9
167,"我是山姆",2001,"USA","Drama",0.9
168,"阳光姐妹淘",2011,"KOR","Drama",8.8
169,"黑客帝国3：矩阵革命",2003,"USA","Action",8.8
170,"恐怖直播",2013,"KOR","Drama",8.7
171,"谍影重重3",2007,"USA","Action",8.9
172,"小丑",2019,"USA","Drama",8.7
173,"无间道2",2003,"CHNH","Drama",8.8
174,"三块广告牌",2017,"GBR","Drama",8.7
175,"电锯惊魂",2004,"USA","Mystery",8.7
176,"达拉斯买家俱乐部",2013,"USA","Drama",8.8
177,"疯狂原始人",2013,"USA","Comedy",8.7
178,"疯狂的石头",2006,"CHNC","Comedy",8.6
179,"绿里奇迹",1999,"USA","Crime",8.9
180,"雨中曲",1952,"USA","Comedy",9.1
181,"爱在午夜降临前",2013,"USA","Drama",8.8
182,"2001太空漫游",1968,"GBR","Fiction",8.9
183,"海街日记",2015,"JPN","Drama",8.8
184,"心迷宫",2014,"CHNC","Drama",8.7
185,"上帝之城",2002,"BRA","Crime",0.9
186,"风之谷",1984,"JPN","Animation",8.9
187,"记忆碎片",2000,"USA","Crime",8.7
188,"英雄本色",1986,"CHNH","Drama",8.6
189,"纵横四海",1991,"CHNH","Drama",8.8
190,"恐怖游轮",2009,"GBR","Fiction",8.5
191,"无敌破坏王",2012,"USA","Comedy",8.7
192,"芙蓉镇",1987,"CHNC","Drama",9.3
193,"魔女宅急便",1989,"JPN","Animation",8.8
194,"牯岭街少年杀人事件",1991,"CHNT","Drama",8.9
195,"小偷家族",2018,"JPN","Drama",8.7
196,"东京教父",2003,"JPN","Drama",0.9
197,"卢旺达饭店",2004,"GBR","Drama",8.9
198,"冰川时代",2002,"USA","Comedy",8.7
199,"忠犬八公物语",1987,"JPN","Drama",9.2
200,"岁月神偷",2010,"CHNH","Drama",8.7
201,"遗愿清单",2007,"USA","Adventure",8.7
202,"白日梦想家",2013,"USA","Drama",8.6
203,"爱乐之城",2016,"USA","Drama",8.4
204,"花束般的恋爱",2021,"JPN","Drama",8.6
205,"源代码",2011,"USA","Fiction",8.6
206,"大佛普拉斯",2017,"CHNT","Drama",8.7
207,"荒蛮故事",2014,"ARG","Drama",8.7
208,"疯狂的麦克斯4：狂暴之路",2015,"AUS","Action",8.7
209,"可可西里",2004,"CHNC","Drama",8.9
210,"你看起来好像很好吃",2010,"JPN","Drama",8.9
211,"波西米亚狂想曲",2018,"GBR","Drama",8.6
212,"贫民窟的百万富翁",2008,"GBR","Drama",8.6
213,"大红灯笼高高挂",1991,"CHNC","Drama",8.8
214,"城市之光",1931,"USA","Comedy",9.3
215,"无耻混蛋",2009,"DEU","Drama",8.7
216,"哈利·波特与死亡圣器(上)",2010,"GBR","Fantasy",8.6
217,"终结者2：审判日",1991,"USA","Action",8.8
218,"爆裂鼓手",2014,"USA","Drama",8.6
219,"青蛇",1993,"CHNH","Drama",8.6
220,"东邪西毒",1994,"CHNH","Drama",8.6
221,"黑天鹅",2010,"USA","Drama",8.6
222,"新龙门客栈",1992,"CHNH","Action",8.7
223,"初恋这件小事",2010,"THA","Drama",8.5
224,"千钧一发",1997,"USA","Drama",8.8
225,"人工智能",2001,"USA","Drama",8.7
226,"崖上的波妞",2008,"JPN","Animation",8.6
227,"彗星来的那一夜",2013,"USA","Fiction",8.6
228,"虎口脱险",1966,"FRA","Comedy",8.9
229,"哈利·波特与凤凰社",2007,"GBR","Fantasy",8.6
230,"雨人",1988,"USA","Drama",8.7
231,"海边的曼彻斯特",2016,"USA","Drama",8.6
232,"罗生门",1950,"JPN","Drama",8.8
233,"火星救援",2015,"GBR","Drama",8.5
234,"恋恋笔记本",2004,"USA","Drama",8.5
235,"冰雪奇缘",2013,"USA","Comedy",8.5
236,"真爱至上",2003,"GBR","Comedy",8.5
237,"黑客帝国2：重装上阵",2003,"USA","Action",8.7
238,"蜘蛛侠：平行宇宙",2018,"USA","Action",8.6
239,"步履不停",2008,"JPN","Drama",8.8
240,"谍影重重2",2004,"USA","Action",8.7
241,"千年女优",2001,"JPN","Animation",8.8
242,"奇迹男孩",2017,"USA","Drama",8.6
243,"战争之王",2005,"USA","Drama",8.7
244,"攻壳机动队",1995,"JPN","Action",0.9
245,"血钻",2006,"USA","Drama",8.7
246,"小姐",2016,"KOR","Drama",8.6
247,"血观音",2017,"CHNT","Drama",8.6
248,"隐藏人物",2016,"USA","Drama",8.9
249,"魂断蓝桥",1940,"USA","Drama",8.8
250,"谍影重重",2002,"USA","Action",8.6
